bookTitle,bookRating,ISBN,bookAuthor,yearOfPublication,Publisher,url,bookImage,bookDesc,ratingCount,bookPages,bookGenres
The Great Gatsby,3.93,185326041X,F. Scott Fitzgerald,1999,Lb May &amp,https://www.goodreads.com/book/show/6519719-the-great-gatsby,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356107649l/6519719.jpg,"Jay Gatsby is the man who has everything. But one thing will always be out of his reach. Everybody who is anybody is seen at his glittering parties. Day and night his Long Island mansion buzzes with bright young things drinking, dancing, and debating his mysterious character. For Gatsby---young, handsome, and fabulously rich---always seems alone in the crowd, watching and waiting, though no one knows what for. Beneath the shimmering surface of his life he is hiding a secret: a silent longing that can never be fulfilled. And soon this destructive obsession will force his world to unravel.",3998914,76 pages,"['Classics', 'Fiction', 'Academic-School', 'Historical-HistoricalFiction', 'Literature', 'Romance', 'Novels', 'Academic-ReadForSchool', 'YoungAdult-HighSchool', 'Literature-American']"
Anne of Green Gables,4.26,340568879,L.M. Montgomery,1993,Hodder Children's Books,https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1615094578l/8127._SY475_.jpg,"This heartwarming story has beckoned generations of readers into the special world of Green Gables, an old-fashioned farm outside a town called Avonlea. Anne Shirley, an eleven-year-old orphan, has arrived in this verdant corner of Prince Edward Island only to discover that the Cuthberts—elderly Matthew and his stern sister, Marilla—want to adopt a boy, not a feisty redheaded girl. But before they can send her back, Anne—who simply must have more scope for her imagination and a real home—wins them over completely. A much-loved classic that explores all the vulnerability, expectations, and dreams of a child growing up, Anne of Green Gables is also a wonderful portrait of a time, a place, a family… and, most of all, love. WITH AN AFTERWORD BY JENNIFER LEE CARELL",778790,320 pages,"['Classics', 'Fiction', 'YoungAdult', 'Childrens', 'Historical-HistoricalFiction', 'Childrens-MiddleGrade', 'Historical', 'Audiobook', 'Cultural-Canada', 'YoungAdult-ComingOfAge']"
The Time Traveler's Wife,3.98,193156146X,Audrey Niffenegger,2003,MacAdam/Cage Publishing,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380660571l/18619684.jpg,"A funny, often poignant tale of boy meets girl with a twist: what if one of them couldn't stop slipping in and out of time? Highly original and imaginative, this debut novel raises questions about life, love, and the effects of time on relationships.Audrey Niffenegger’s innovative debut, The Time Traveler’s Wife, is the story of Clare, a beautiful art student, and Henry, an adventuresome librarian, who have known each other since Clare was six and Henry was thirty-six, and were married when Clare was twenty-three and Henry thirty-one. Impossible but true, because Henry is one of the first people diagnosed with Chrono-Displacement Disorder: periodically his genetic clock resets and he finds himself misplaced in time, pulled to moments of emotional gravity in his life, past and future. His disappearances are spontaneous, his experiences unpredictable, alternately harrowing and amusing. The Time Traveler’s Wife depicts the effects of time travel on Henry and Clare’s marriage and their passionate love for each other as the story unfolds from both points of view. Clare and Henry attempt to live normal lives, pursuing familiar goals—steady jobs, good friends, children of their own. All of this is threatened by something they can neither prevent nor control, making their story intensely moving and entirely unforgettable.",1624253,500 pages,"['Fiction', 'Romance', 'Fantasy', 'ScienceFiction-TimeTravel', 'ScienceFiction', 'Contemporary', 'Adult', 'WomensFiction-ChickLit', 'AdultFiction', 'MagicalRealism']"
Of Mice and Men,3.88,142000671,John Steinbeck,2002,Penguin Books,https://www.goodreads.com/book/show/890.Of_Mice_and_Men,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511302904l/890._SX318_.jpg,"An intimate portrait of two men who cherish the slim bond between them and the dream they share in a world marred by petty tyranny, misunderstanding, jealousy, and callousness. Clinging to each other in their loneliness and alienation, George and his simple-minded friend Lennie dream, as drifters will, of a place to call their own—a couple of acres and a few pigs, chickens, and rabbits back in Hill Country where land is cheap. But after they come to work on a ranch in the fertile Salinas Valley of California, their hopes, like ""the best laid schemes o' mice an' men,"" begin to go awry.Of Mice and Men also represents an experiment in form, as Steinbeck described his work, ""a kind of playable novel, written in novel form but so scened and set that it can be played as it stands."" A rarity in American letters, it achieved remarkable success as a novel, a Broadway play, and three acclaimed films. Steinbeck's tale of commitment, loneliness, hope, and loss remains one of America's most widely read and beloved novels.--front flap",2037188,103 pages,"['Classics', 'Fiction', 'Academic-School', 'Historical-HistoricalFiction', 'Literature', 'Academic-ReadForSchool', 'Novels', 'YoungAdult-HighSchool', 'Literature-American', 'Classics-ClassicLiterature']"
Brave New World,3.99,60809833,Aldous Huxley,1989,Harpercollins,https://www.goodreads.com/book/show/5129.Brave_New_World,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575509280l/5129._SY475_.jpg,"Brave New World is a dystopian novel by English author Aldous Huxley, written in 1931 and published in 1932. Largely set in a futuristic World State, inhabited by genetically modified citizens and an intelligence-based social hierarchy, the novel anticipates huge scientific advancements in reproductive technology, sleep-learning, psychological manipulation and classical conditioning that are combined to make a dystopian society which is challenged by only a single individual: the story's protagonist.",1516508,268 pages,"['Classics', 'Fiction', 'ScienceFiction', 'ScienceFiction-Dystopia', 'Literature', 'Novels', 'Academic-School', 'Fantasy', 'Philosophy', 'ScienceFictionFantasy']"
The Princess Bride,4.25,1590071875,William Goldman,2003,New Millennium Audio,https://www.goodreads.com/book/show/21787.The_Princess_Bride,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327903636l/21787.jpg,"What happens when the most beautiful girl in the world marries the handsomest prince of all time and he turns out to be...well...a lot less than the man of her dreams?As a boy, William Goldman claims, he loved to hear his father read the S. Morgenstern classic, The Princess Bride. But as a grown-up he discovered that the boring parts were left out of good old Dad's recitation, and only the ""good parts"" reached his ears.Now Goldman does Dad one better. He's reconstructed the ""Good Parts Version"" to delight wise kids and wide-eyed grownups everywhere.What's it about? Fencing. Fighting. True Love. Strong Hate. Harsh Revenge. A Few Giants. Lots of Bad Men. Lots of Good Men. Five or Six Beautiful Women. Beasties Monstrous and Gentle. Some Swell Escapes and Captures. Death, Lies, Truth, Miracles, and a Little Sex.In short, it's about everything.",809214,456 pages,"['Fantasy', 'Fiction', 'Classics', 'Romance', 'Humor', 'YoungAdult', 'Adventure', 'ScienceFictionFantasy', 'Humor-Comedy', 'Fantasy-FairyTales']"
The Catcher in the Rye,3.81,316769487,J.D. Salinger,1991,"Little, Brown",https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398034300l/5107.jpg,"The hero-narrator of The Catcher in the Rye is an ancient child of sixteen, a native New Yorker named Holden Caulfield. Through circumstances that tend to preclude adult, secondhand description, he leaves his prep school in Pennsylvania and goes underground in New York City for three days. The boy himself is at once too simple and too complex for us to make any final comment about him or his story. Perhaps the safest thing we can say about Holden is that he was born in the world not just strongly attracted to beauty but, almost, hopelessly impaled on it. There are many voices in this novel: children's voices, adult voices, underground voices-but Holden's voice is the most eloquent of all. Transcending his own vernacular, yet remaining marvelously faithful to it, he issues a perfectly articulated cry of mixed pain and pleasure. However, like most lovers and clowns and poets of the higher orders, he keeps most of the pain to, and for, himself. The pleasure he gives away, or sets aside, with all his heart. It is there for the reader who can handle it to keep. J.D. Salinger's classic novel of teenage angst and rebellion was first published in 1951. The novel was included on Time's 2005 list of the 100 best English-language novels written since 1923. It was named by Modern Library and its readers as one of the 100 best English-language novels of the 20th century. It has been frequently challenged in the court for its liberal use of profanity and portrayal of sexuality and in the 1950's and 60's it was the novel that every teenage boy wants to read.",2869402,277 pages,"['Classics', 'Fiction', 'YoungAdult', 'Literature', 'Academic-School', 'Novels', 'YoungAdult-ComingOfAge', 'YoungAdult-HighSchool', 'Literature-American', 'Academic-ReadForSchool']"
The Secret Garden,4.13,812505018,Frances Hodgson Burnett,1989,Tor Books,https://www.goodreads.com/book/show/2998.The_Secret_Garden,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327873635l/2998.jpg,"""One of the most delightful and enduring classics of children's literature, The Secret Garden by Victorian author Frances Hodgson Burnett has remained a firm favorite with children the world over ever since it made its first appearance. Initially published as a serial story in 1910 in The American Magazine, it was brought out in novel form in 1911.  The plot centers round Mary Lennox, a young English girl who returns to England from India, having suffered the immense trauma by losing both her parents in a cholera epidemic. However, her memories of her parents are not pleasant, as they were a selfish, neglectful and pleasure-seeking couple. Mary is given to the care of her uncle Archibald Craven, whom she has never met. She travels to his home, Misselthwaite Manor located in the gloomy Yorkshire, a vast change from the sunny and warm climate she was used to. When she arrives, she is a rude, stubborn and given to stormy temper tantrums. However, her nature undergoes a gradual transformation when she learns of the tragedies that have befallen her strict and disciplinarian uncle whom she earlier feared and despised. Once when he's away from home, Mary discovers a charming walled garden which is always kept locked. The mystery deepens when she hears sounds of sobbing from somewhere within her uncle's vast mansion. The kindly servants ignore her queries or pretend they haven't heard, spiking Mary's curiosity.  The Secret Garden appeals to both young and old alike. It has wonderful elements of mystery, spirituality, charming characters and an authentic rendering of childhood emotions and experiences. Commonsense, truth and kindness, compassion and a belief in the essential goodness of human beings lie at the heart of this unforgettable story. It is the best known of Frances Hodgson Burnett's works, though most of us have definitely heard of, if not read, her other novel Little Lord Fauntleroy.  The book has been adapted extensively on stage, film and television and translated into all the world's major languages. In 1991, a Japanese anime version was launched for television in Japan. It remains a popular and beloved story of a child's journey into maturity, and a must-read for every child, parent, teacher and anyone who would enjoy this fascinating glimpse of childhood. One of the most delightful and enduring classics of children's literature, The Secret Garden by Victorian author Frances Hodgson Burnett has remained a firm favorite with children the world over ever since it made its first appearance. Initially published as a serial story in 1910 in The American Magazine, it was brought out in novel form in 1911."" ",948388,331 pages,"['Classics', 'Fiction', 'Childrens', 'YoungAdult', 'Historical-HistoricalFiction', 'Childrens-MiddleGrade', 'Fantasy', 'Literature', 'Historical', 'Audiobook']"
A Wrinkle in Time,3.99,440998050,Madeleine L'Engle,1976,Laure Leaf,https://www.goodreads.com/book/show/18131.A_Wrinkle_in_Time,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329061522l/18131.jpg,"It was a dark and stormy night.Out of this wild night, a strange visitor comes to the Murry house and beckons Meg, her brother Charles Wallace, and their friend Calvin O'Keefe on a most dangerous and extraordinary adventure—one that will threaten their lives and our universe.Winner of the 1963 Newbery Medal, A Wrinkle in Time is the first book in Madeleine L'Engle's classic Time Quintet.",1084241,211 pages,"['Fantasy', 'Fiction', 'Classics', 'YoungAdult', 'ScienceFiction', 'Childrens', 'Childrens-MiddleGrade', 'ScienceFiction-TimeTravel', 'Adventure', 'ScienceFictionFantasy']"
Fahrenheit 451,3.99,3257208626,Ray Bradbury,1994,Distribooks Inc,https://www.goodreads.com/book/show/17470674-fahrenheit-451,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1469704347l/17470674.jpg,"The terrifyingly prophetic novel of a post-literate future.Guy Montag is a fireman. His job is to burn books, which are forbidden, being the source of all discord and unhappiness. Even so, Montag is unhappy; there is discord in his marriage. Are books hidden in his house? The Mechanical Hound of the Fire Department, armed with a lethal hypodermic, escorted by helicopters, is ready to track down those dissidents who defy society to preserve and read books.The classic dystopian novel of a post-literate future, Fahrenheit 451 stands alongside Orwell’s 1984 and Huxley’s Brave New World as a prophetic account of Western civilization’s enslavement by the media, drugs and conformity.Bradbury’s powerful and poetic prose combines with uncanny insight into the potential of technology to create a novel which, decades on from first publication, still has the power to dazzle and shock.--back cover",1796656,227 pages,"['Classics', 'Fiction', 'ScienceFiction', 'ScienceFiction-Dystopia', 'Academic-School', 'Literature', 'Novels', 'Fantasy', 'Adult', 'ScienceFictionFantasy']"
The Lovely Bones,3.82,316168815,Alice Sebold,2004,Back Bay Books,https://www.goodreads.com/book/show/12232938-the-lovely-bones,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457810586l/12232938.jpg,"""My name was Salmon, like the fish; first name, Susie. I was fourteen when I was murdered on December 6, 1973.""So begins the story of Susie Salmon, who is adjusting to her new home in heaven, a place that is not at all what she expected, even as she is watching life on earth continue without her -- her friends trading rumors about her disappearance, her killer trying to cover his tracks, her grief-stricken family unraveling. Out of unspeakable tragedy and loss, The Lovely Bones succeeds, miraculously, in building a tale filled with hope, humor, suspense, even joy.",2091342,372 pages,"['Fiction', 'Mystery', 'YoungAdult', 'Contemporary', 'Fantasy', 'Mystery-Crime', 'Adult', 'AdultFiction', 'Drama', 'Thriller']"
Where the Wild Things Are,4.21,60254920,Maurice Sendak,1988,HarperCollins,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384434560l/19543.jpg,"Max, a wild and naughty boy, is sent to bed without his supper by his exhausted mother. In his room, he imagines sailing far away to a land of Wild Things. Instead of eating him, the Wild Things make Max their king.",860507,37 pages,"['Childrens', 'Childrens-PictureBooks', 'Fiction', 'Classics', 'Fantasy', 'Adventure', 'YoungAdult', 'Animals', 'Kids', 'Folklore-Monsters']"
Life of Pi,3.92,151008116,Yann Martel,2002,Harcourt,https://www.goodreads.com/book/show/4214.Life_of_Pi,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320562005l/4214.jpg,"Life of Pi is a fantasy adventure novel by Yann Martel published in 2001. The protagonist, Piscine Molitor ""Pi"" Patel, a Tamil boy from Pondicherry, explores issues of spirituality and practicality from an early age. He survives 227 days after a shipwreck while stranded on a boat in the Pacific Ocean with a Bengal tiger named Richard Parker.",1396047,460 pages,"['Fiction', 'Fantasy', 'Classics', 'Adventure', 'Contemporary', 'Novels', 'Literature', 'MagicalRealism', 'Cultural-India', 'Philosophy']"
The Giver,4.13,440900794,Lois Lowry,1994,Random House Childrens Pub,https://www.goodreads.com/book/show/3636.The_Giver,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342493368l/3636.jpg,"The Giver, the 1994 Newbery Medal winner, has become one of the most influential novels of our time. The haunting story centers on twelve-year-old Jonas, who lives in a seemingly ideal, if colorless, world of conformity and contentment. Not until he is given his life assignment as the Receiver of Memory does he begin to understand the dark, complex secrets behind his fragile community. This movie tie-in edition features cover art from the movie and exclusive Q&A with members of the cast, including Taylor Swift, Brenton Thwaites and Cameron Monaghan.",1896072,208 pages,"['YoungAdult', 'Fiction', 'Classics', 'ScienceFiction-Dystopia', 'ScienceFiction', 'Fantasy', 'Academic-School', 'Childrens', 'Childrens-MiddleGrade', 'Academic-ReadForSchool']"
The Handmaid's Tale,4.12,449212602,Margaret Atwood,1989,Fawcett Books,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578028274l/38447._SY475_.jpg,"Offred is a Handmaid in the Republic of Gilead. She may leave the home of the Commander and his wife once a day to walk to food markets whose signs are now pictures instead of words because women are no longer allowed to read. She must lie on her back once a month and pray that the Commander makes her pregnant, because in an age of declining births, Offred and the other Handmaids are valued only if their ovaries are viable. Offred can remember the years before, when she lived and made love with her husband, Luke; when she played with and protected her daughter; when she had a job, money of her own, and access to knowledge. But all of that is gone now . . . Funny, unexpected, horrifying, and altogether convincing, The Handmaid's Tale is at once scathing satire, dire warning, and tour de force.",1567546,314 pages,"['Fiction', 'Classics', 'ScienceFiction-Dystopia', 'ScienceFiction', 'Feminism', 'Fantasy', 'Adult', 'Audiobook', 'Literature', 'Novels']"
The Pillars of the Earth,4.32,451166892,Ken Follett,1996,Signet Book,https://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576956100l/5043.jpg,"Ken Follett is known worldwide as the master of split-second suspense, but his most beloved and bestselling book tells the magnificent tale of a twelfth-century monk driven to do the seemingly impossible: build the greatest Gothic cathedral the world has ever known.Everything readers expect from Follett is here: intrigue, fast-paced action, and passionate romance. But what makes The Pillars of the Earth extraordinary is the time the twelfth century; the place feudal England; and the subject the building of a glorious cathedral. Follett has re-created the crude, flamboyant England of the Middle Ages in every detail. The vast forests, the walled towns, the castles, and the monasteries become a familiar landscape. Against this richly imagined and intricately interwoven backdrop, filled with the ravages of war and the rhythms of daily life, the master storyteller draws the reader irresistibly into the intertwined lives of his characters into their dreams, their labors, and their loves: Tom, the master builder; Aliena, the ravishingly beautiful noblewoman; Philip, the prior of Kingsbridge; Jack, the artist in stone; and Ellen, the woman of the forest who casts a terrifying curse. From humble stonemason to imperious monarch, each character is brought vividly to life.The building of the cathedral, with the almost eerie artistry of the unschooled stonemasons, is the center of the drama. Around the site of the construction, Follett weaves a story of betrayal, revenge, and love, which begins with the public hanging of an innocent man and ends with the humiliation of a king.For the TV tie-in edition with the same ISBN go to this Alternate Cover Edition",674761,976 pages,"['Historical-HistoricalFiction', 'Fiction', 'Historical', 'Fantasy', 'Classics', 'Historical-Medieval', 'Audiobook', 'Novels', 'EuropeanLiterature-BritishLiterature', 'Adult']"
One Flew Over the Cuckoo's Nest,4.19,451143426,Ken Kesey,1963,Signet Book,https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1516211014l/332613._SX318_.jpg,"Tyrannical Nurse Ratched rules her ward in an Oregon State mental hospital with a strict and unbending routine, unopposed by her patients, who remain cowed by mind-numbing medication and the threat of electric shock therapy. But her regime is disrupted by the arrival of McMurphy – the swaggering, fun-loving trickster with a devilish grin who resolves to oppose her rules on behalf of his fellow inmates. His struggle is seen through the eyes of Chief Bromden, a seemingly mute half-Indian patient who understands McMurphy's heroic attempt to do battle with the powers that keep them imprisoned. Ken Kesey's extraordinary first novel is an exuberant, ribald and devastatingly honest portrayal of the boundaries between sanity and madness.",654049,325 pages,"['Classics', 'Fiction', 'Psychology', 'Literature', 'Novels', 'Health-MentalHealth', 'Academic-School', 'Literature-American', 'MentalHealth-MentalIllness', 'Contemporary']"
